name,seat,charge,leavehour,departure,arrival,departure_datetime,arrival_datetime,check
티웨이항공,일반석,118700,8,GMP,CJU,2023-07-21 08:15:00,2023-07-21 09:25:00,come
아시아나항공,할인석,84700,8,GMP,CJU,2023-07-21 08:20:00,2023-07-21 09:35:00,come
아시아나항공,일반석,132700,8,GMP,CJU,2023-07-21 08:20:00,2023-07-21 09:35:00,come
아시아나항공,할인석,96700,8,GMP,CJU,2023-07-21 08:30:00,2023-07-21 09:40:00,come
아시아나항공,일반석,132700,8,GMP,CJU,2023-07-21 08:30:00,2023-07-21 09:40:00,come
대한항공,할인석,94700,8,GMP,CJU,2023-07-21 08:55:00,2023-07-21 10:05:00,come
대한항공,일반석,129700,8,GMP,CJU,2023-07-21 08:55:00,2023-07-21 10:05:00,come
대한항공,할인석,94700,9,GMP,CJU,2023-07-21 09:00:00,2023-07-21 10:10:00,come
제주항공,일반석,119200,9,GMP,CJU,2023-07-21 09:00:00,2023-07-21 10:10:00,come
대한항공,일반석,129700,9,GMP,CJU,2023-07-21 09:00:00,2023-07-21 10:10:00,come
제주항공,특가석,41600,9,GMP,CJU,2023-07-21 09:25:00,2023-07-21 10:35:00,come
제주항공,일반석,119200,9,GMP,CJU,2023-07-21 09:25:00,2023-07-21 10:35:00,come
대한항공,할인석,94700,9,GMP,CJU,2023-07-21 09:30:00,2023-07-21 10:40:00,come
대한항공,일반석,129700,9,GMP,CJU,2023-07-21 09:30:00,2023-07-21 10:40:00,come
티웨이항공,할인석,40500,9,GMP,CJU,2023-07-21 09:45:00,2023-07-21 10:55:00,come
티웨이항공,일반석,118700,9,GMP,CJU,2023-07-21 09:45:00,2023-07-21 10:55:00,come
이스타항공,할인석,35600,9,GMP,CJU,2023-07-21 09:50:00,2023-07-21 11:05:00,come
아시아나항공,할인석,96700,9,GMP,CJU,2023-07-21 09:50:00,2023-07-21 11:00:00,come
이스타항공,일반석,119600,9,GMP,CJU,2023-07-21 09:50:00,2023-07-21 11:05:00,come
아시아나항공,일반석,132700,9,GMP,CJU,2023-07-21 09:50:00,2023-07-21 11:00:00,come
아시아나항공,할인석,78700,10,GMP,CJU,2023-07-21 10:15:00,2023-07-21 11:25:00,come
아시아나항공,일반석,132700,10,GMP,CJU,2023-07-21 10:15:00,2023-07-21 11:25:00,come
진에어,특가석,36900,10,GMP,CJU,2023-07-21 10:30:00,2023-07-21 11:45:00,come
진에어,할인석,45600,10,GMP,CJU,2023-07-21 10:30:00,2023-07-21 11:45:00,come
대한항공,할인석,67700,10,GMP,CJU,2023-07-21 10:30:00,2023-07-21 11:45:00,come
대한항공,할인석,89700,10,GMP,CJU,2023-07-21 10:30:00,2023-07-21 11:45:00,come
대한항공,일반석,106700,10,GMP,CJU,2023-07-21 10:30:00,2023-07-21 11:45:00,come
진에어,일반석,119700,10,GMP,CJU,2023-07-21 10:30:00,2023-07-21 11:45:00,come
